          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
C6H5C2H5+BIN15	      2086.2    -1.97353           1  0.00983704  0.00112526
C6H5C2H5+BIN16	     1959.65    -1.97444           1  0.00918813  0.00104998
C6H5C2H5+BIN17	     1836.88    -1.97535           1  0.00856415 0.000977699
C6H5C2H5+BIN18	     1719.25    -1.97624           1  0.00797151 0.000909153
C6H5C2H5+BIN19	     1607.65     -1.9771           1  0.00741402 0.000844767
C6H5C2H5+BIN20	     1502.57    -1.97794           1  0.00689347 0.000784732
C6H5C2H5+BIN21	     1404.23    -1.97874           1  0.00641012 0.000729064
C6H5C2H5+BIN22	     1312.59    -1.97951           1   0.0059632 0.000677658
C6H5C2H5+BIN23	      1227.5    -1.98025           1   0.0055512 0.000630329
C6H5C2H5+BIN24	     1148.67    -1.98095           1  0.00517218 0.000586841
INDENE+BIN 1	     3489.38    -1.96446           1   0.0174076   0.0020112
INDENE+BIN 2	     3294.66    -1.96563           1   0.0163169  0.00188275
INDENE+BIN 3	     3204.19    -1.96618           1   0.0158144  0.00182367
INDENE+BIN 4	     3183.01    -1.96631           1   0.0156972  0.00180989
INDENE+BIN 5	     3182.41    -1.96632           1   0.0156938   0.0018095
INDENE+BIN 6	     3176.75    -1.96635           1   0.0156626  0.00180582
INDENE+BIN 7	     3154.93    -1.96648           1    0.015542  0.00179166
INDENE+BIN 8	     3109.93    -1.96676           1   0.0152938  0.00176251
INDENE+BIN 9	     3041.11    -1.96719           1   0.0149157  0.00171813
INDENE+BIN10	     2950.41    -1.96776           1   0.0144198  0.00165996
INDENE+BIN11	     2841.49    -1.96845           1   0.0138279  0.00159063
INDENE+BIN12	      2718.8    -1.96924           1   0.0131662  0.00151319
INDENE+BIN13	     2586.89     -1.9701           1   0.0124604  0.00143072
INDENE+BIN14	     2455.27    -1.97098           1   0.0117623  0.00134926
INDENE+BIN15	     2316.72    -1.97192           1   0.0110339   0.0012644
INDENE+BIN16	     2179.52    -1.97287           1   0.0103193  0.00118128
INDENE+BIN17	     2045.88    -1.97382           1  0.00962968  0.00110119
INDENE+BIN18	     1917.42    -1.97475           1  0.00897286  0.00102503
INDENE+BIN19	     1795.19    -1.97566           1  0.00835352 0.000953325
INDENE+BIN20	     1679.82    -1.97654           1  0.00777401 0.000886332
