          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
BIN 8+BIN13	     28422.7    -1.79994    0.999984       30303    0.394169   0.0545623
BIN 8+BIN14	       28766    -1.79222    0.999982     30769.2    0.418543     0.05843
BIN 8+BIN15	     28983.6     -1.7861    0.999981     31007.8    0.438053   0.0615659
BIN 8+BIN16	     29107.7    -1.78184     0.99998     31128.4    0.451714   0.0637833
BIN 8+BIN17	     29171.9    -1.77928     0.99998     31189.1    0.459971   0.0651322
BIN 8+BIN18	     29196.6    -1.77821     0.99998     31219.5    0.463456   0.0657035
BIN 8+BIN19	     29192.7    -1.77838     0.99998     31234.7    0.462885   0.0656098
BIN 8+BIN20	     29164.7    -1.77959     0.99998     31242.4    0.458985   0.0649709
BIN 8+BIN21	     29113.7    -1.78162     0.99998     31246.2    0.452443   0.0639022
BIN 8+BIN22	     29039.3    -1.78428    0.999981     31248.1    0.443873   0.0625086
BIN 8+BIN23	     28940.4    -1.78742    0.999982       31249     0.43381    0.060881
BIN 8+BIN24	     28816.5    -1.79091    0.999982     31249.5      0.4227   0.0590952
BIN 9+BIN 9	     26307.5    -1.82995    0.999989       31250    0.302758   0.0405496
BIN 9+BIN10	     27817.8     -1.8106    0.999986     41666.7    0.361057   0.0493971
BIN 9+BIN11	     28766.8     -1.7922    0.999982       50000     0.41861   0.0584406
BIN 9+BIN12	     29255.6    -1.77535    0.999979     55555.6    0.472717   0.0672273
BIN 9+BIN13	     29415.4    -1.76051    0.999976     58823.5    0.521195   0.0753394
BIN 9+BIN14	     29377.7    -1.74843    0.999973     60606.1    0.561111   0.0821929
BIN 9+BIN15	     29240.5    -1.73825    0.999971     61538.5    0.594963   0.0881316
BIN 9+BIN16	     29077.1    -1.73051    0.999969     62015.5    0.620825   0.0927488
BIN 9+BIN17	     28933.9    -1.72505    0.999967     62256.8     0.63906   0.0960468
BIN 9+BIN18	     28834.1    -1.72168    0.999967     62378.2    0.650358   0.0981079
BIN 9+BIN19	     28785.2    -1.72012    0.999966       62439    0.655586   0.0990662
BIN 9+BIN20	     28784.4    -1.72009    0.999966     62469.5    0.655675   0.0990826
BIN 9+BIN21	     28823.2    -1.72132    0.999967     62484.7     0.65154   0.0983243
BIN 9+BIN22	       28891    -1.72357    0.999967     62492.4     0.64403   0.0969517
BIN 9+BIN23	     28976.7     -1.7266    0.999968     62496.2    0.633899   0.0951098
BIN 9+BIN24	     29070.1    -1.73021    0.999969     62498.1    0.621798   0.0929239
BIN10+BIN10	     28993.8    -1.78578    0.999981       62500    0.439081   0.0617323
BIN10+BIN11	     29412.3    -1.76144    0.999976     83333.3    0.518162    0.074825
BIN10+BIN12	     29243.1     -1.7384    0.999971      100000    0.594479   0.0880459
BIN10+BIN13	     28695.5    -1.71738    0.999965      111111    0.664746    0.100753
BIN10+BIN14	     27994.2    -1.69958     0.99996      117647     0.72436    0.111956
BIN10+BIN15	     27229.9    -1.68388    0.999956      121212    0.776793    0.122149
BIN10+BIN16	     26531.9    -1.67121    0.999951      123077    0.818902    0.130576
BIN10+BIN17	       25958    -1.66152    0.999948      124031    0.850915    0.137133
BIN10+BIN18	       25532    -1.65463    0.999946      124514    0.873555    0.141851
BIN10+BIN19	     25255.4    -1.65027    0.999944      124756    0.887836    0.144862
BIN10+BIN20	     25116.6    -1.64811    0.999943      124878    0.894894    0.146361
BIN10+BIN21	     25097.2    -1.64781    0.999943      124939    0.895874     0.14657
BIN10+BIN22	     25176.4    -1.64904    0.999944      124969     0.89186    0.145716
BIN10+BIN23	     25333.5    -1.65149    0.999944      124985     0.88383    0.144015
BIN10+BIN24	     25549.4    -1.65491    0.999946      124992    0.872646     0.14166
BIN11+BIN11	     29074.4    -1.73039    0.999969      125000      0.6212   0.0928162
BIN11+BIN12	     28017.9    -1.70011    0.999961      166667    0.722572    0.111615
BIN11+BIN13	     26553.9    -1.67159    0.999952      200000    0.817638     0.13032
BIN11+BIN14	     25019.4     -1.6466    0.999943      222222    0.899795    0.147406
BIN11+BIN15	     23484.8    -1.62373    0.999934      235294    0.973599    0.163554
BIN11+BIN16	     22135.4    -1.60444    0.999926      242424     1.03454    0.177515
BIN11+BIN17	     21028.6    -1.58886    0.999918      246154     1.08276    0.188996
BIN11+BIN18	     20177.4     -1.5769    0.999913      248062     1.11908     0.19792
BIN11+BIN19	       19569    -1.56833    0.999909      249027     1.14474    0.204374
