Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9,Group_10,Group_11,Group_12,Group_13,Group_14,Group_15,Group_16,Group_17,Group_18,Group_19,Group_20,Group_21,Group_22,Group_23,Group_24,Group_25
119352985648195.6,35805692918759.375,20209810702071.66,14144760003753.615,744804308286.2878,69996537775.54314,37823097930.42442,42486634637.77099,46175204166.451004,47567460496.084595,44297344528.909805,33132863557.30268,19909517199.5168,10164883500.26701,4538289061.312721,1817058490.2353795,691009777.8474791,245944411.7400175,61120950.115011014,10539006.177666647,1264300.2340402484,105994.38234874721,6091.366782622517,233.97664027871977,5.867581192702902
120122593254315.64,36020012561756.76,20301455050802.94,14206003769712.377,938151034561.9935,120626968749.38626,74572863776.55762,77729811261.79382,74975143698.84875,62985397849.21361,45864413630.89944,28370691206.16424,15224520512.40678,7363516709.208117,3246916299.53781,1327364826.5618742,526882360.09561026,208922434.85540068,59982004.15598439,12176280.06533014,1719147.929270239,165830.06172004616,10496.772318198558,420.5867072009462,10.451982080826363
119878321321069.84,35954139105701.85,20273594769981.594,14186787654916.875,838795373691.0159,96246404662.73001,56217593445.62633,61230857668.23422,63008723600.87929,57691761833.5998,46164690589.629974,30764495364.162785,17329866426.95809,8590476755.88198,3780581025.278142,1492492672.8049574,543449377.8307494,196302914.08358502,50047288.960541785,8881030.089690093,1093994.0862721275,92818.39619212967,5238.741304467443,189.61445176799234,4.273805056305612
119251307557502.8,35781281959847.734,20199566793867.316,14134912975708.113,740148035384.3938,68801552076.7255,36991817059.002075,41699040463.53623,45501469913.417145,47182434191.19139,44258407598.91154,33219623155.263012,19954174097.09041,10185562267.339808,4561566520.257464,1840794996.0110881,710105439.9793618,254103229.65927047,63300318.65516166,10878663.833165754,1289550.6623403744,105651.95534122945,5848.368887273055,212.0407661425391,4.875272934331008
119996562158339.22,35981823829269.99,20285453875238.277,14195057289464.424,943350138628.7129,114101419049.63925,71437771683.43541,73478184068.71402,69353744354.45496,58508078323.2588,43272777667.725296,26771950427.975826,14299470210.904564,7040557797.28829,3282442391.4554596,1467057146.7068367,669125709.9708017,283647425.38681275,86314903.52549721,18250016.264876805,2597081.482369267,241706.28583209778,14012.21218934578,482.64025892873985,9.516671959884524
119981700664855.06,35982103978374.81,20285494011096.3,14193428848448.713,840904623025.442,87392940993.87204,48781838217.66177,53301279335.74264,55044552525.69679,49984716222.542366,39242697026.0556,25592382580.63661,14235855443.72291,7143409914.257521,3337673255.4581842,1501242730.9202602,743715500.8499889,311663782.39699113,93855103.59323229,19827879.126407318,2855540.563890315,274246.76642066357,16828.67703980313,632.7775645598558,14.16613769494875
120016440169687.92,35991147962867.1,20289630656832.926,14196181807034.723,805980578343.7085,88230922716.17091,50017639932.80784,55747614087.862595,58899429709.94341,54407892795.823166,43455480982.640915,29030549881.533928,16530053230.35818,8340898273.078666,3763239278.6069894,1532618393.5801363,581338463.9960124,205957482.15180743,51197301.160341464,8804744.687419664,1055279.9887456296,88193.83481838138,4990.106931905324,185.3799417035125,4.434167769152356
119844510123462.0,35943440338328.23,20267992212153.906,14188594181573.33,998265474428.2471,133410302899.97946,85082781121.39673,84764526897.16135,78060639727.32733,65180273073.08976,48266916617.80646,29985212866.089203,15891433305.952621,7548108866.846972,3291498007.527398,1352958471.1186917,549347617.9754045,229516846.12210578,70045386.58119565,15091847.409778817,2241530.851519158,224950.59381812398,14677.981297175796,600.9781675454279,15.074849506945958
119771087723515.44,35922673640468.8,20259858382516.98,14180317974081.852,942991123925.6207,119719423086.93237,75028041703.19926,76695247437.55768,72935599016.24889,63341811771.57607,48904303046.03358,31405837613.0102,17013667303.91087,8175333241.209109,3559533961.2494,1433699722.0089402,549402416.9504431,217858922.44912,62201158.57007408,12446769.22228614,1718635.1486041774,161290.21494313463,9924.026725654228,386.26536930857446,9.246035814640656
119856856377870.36,35944354763016.49,20268841470138.81,14188987717823.846,1124283119801.7227,174341795613.3724,115977711891.0023,108648576827.73058,93675461539.06075,74276225600.74225,52829216222.769424,31715643779.644665,16275995235.505024,7473687910.722826,3135339460.0441866,1231787402.2346618,467785932.3029902,189209708.54349208,59391727.77470742,13363298.445131138,2090361.9877324197,222757.76315360874,15590.477356954225,694.8635499952442,19.37050840087823
119695703520710.39,35901255431669.93,20250766267249.312,14173102379786.97,818726928674.138,86972485563.30023,49989348655.6944,54627881657.21913,56578687413.74973,53550698888.666214,44884903838.69447,30826524446.61868,17571223242.393864,8764993005.993153,3920823125.0009327,1609755681.6015038,644430474.4215572,243531183.35180062,65126910.77484715,12125578.821623284,1556491.743660111,136567.94148399445,7929.814987580368,294.02975416509696,6.755827249662316
119916673588411.1,35961309111056.82,20275947328768.25,14192333811170.719,996343034098.0077,125295178173.57495,77190784890.17255,76523149607.13484,70570545334.5156,59034521566.11188,43656003667.52804,26949917919.072975,14206480652.075552,6792301404.443986,3062333394.386427,1355612505.2075331,662316268.5792149,301401752.8028902,100963591.71546254,23858587.880460292,3829242.8481309908,407012.46049535583,27494.195373332914,1136.3860775904245,28.058174081989208
120007437880096.31,35989302568651.31,20288847729893.164,14193408267854.367,586438121424.0175,42631363488.94236,16578569038.135605,21049459160.038033,28226504738.13647,32154841795.404892,30586728515.08264,23565625661.59322,15110453792.58762,8458907712.584391,4205307518.8853583,1894811621.6412296,891901279.1717678,296421322.5390619,67784348.41565724,10802839.332012966,1201878.5527047736,92970.39904528443,4825.16069300392,161.0900893567317,3.346788991764221
120077214326305.89,36008136465385.2,20296782696664.375,14201066239675.0,939537012816.5957,123663738371.15549,76913924320.41702,79974564108.04611,77140036710.10098,65226836390.098145,48004766064.747635,29972637638.138638,16160964803.93811,7793620382.395668,3381011182.9334226,1330419539.741406,485148954.6546062,175498695.9343538,46977804.586876854,8863483.717736328,1167901.072828243,106326.5762708039,6441.433299222819,250.6257469826827,6.122535654524925
119782963929128.55,35926297213907.44,20261579164746.004,14179398545879.51,816763670995.59,88487294545.87332,50809964165.24278,55716939206.73509,57933058381.91169,54372827489.229515,44933534606.68164,30673141775.180702,17527687258.835274,8774363079.108469,3912563291.8235044,1580191796.989151,601948779.330281,220636891.08947003,56977029.24782767,10249552.657562412,1284355.2275039938,111846.17932563234,6586.059948555933,254.80614743397564,6.348562685853811
120046588450940.88,35999252149115.87,20293115172786.3,14196856498058.457,956981352078.4108,115706175430.28423,70999187102.38393,72684237700.6629,68495551888.855835,56937269621.45,41190633068.1888,25080228939.74619,13276397766.618788,6509697977.986613,3057185764.8476424,1406748711.174203,693108542.7813282,306648408.09282804,98062396.63629946,21880930.609526236,3286857.4539823947,322650.1659761976,19726.923032004583,718.5317563609258,15.11097620744213
120015894805118.75,35989200518457.82,20289386868617.914,14194299596963.566,883159019611.8816,108302880565.34564,65292963536.173744,69588165678.9568,69484060139.12498,61425145033.53239,47407764799.565056,30701910291.747925,16952743916.417645,8289405269.743126,3614988935.794051,1417873046.0115378,511400572.0388925,182321641.85476488,47165335.5387733,8558645.732615735,1083565.338266095,94932.8521000986,5550.989286625601,209.11646409502063,4.947528733811019
119899903302414.4,35957334398048.98,20275620978250.336,14186450185217.38,827052611808.0072,95565572241.41284,55234860092.41987,60131334091.128296,62369824514.68112,57957663967.186584,47282758486.85778,32113057788.428955,18364349821.61631,9166120641.456362,4004053684.836524,1528397171.5785089,517878964.0090852,154395875.06176096,34838779.34092468,5396575.933320115,580549.0783349266,43779.165829524776,2258.073157180622,77.47759201697622,1.7323206180029214
119737475421050.73,35914861395038.27,20257415648196.93,14174611226387.137,977480469104.187,130809562566.69077,83476168448.63165,83754947856.94916,78062864699.55273,66838140912.3227,51106385963.88351,32552724710.602432,17481319520.59674,8305722478.314712,3555806634.800756,1396220495.123096,514361226.5645522,195672614.73095852,55238234.76180637,10985792.406824011,1511672.624141902,141842.33979667106,8753.463336915833,342.63264918127015,8.260393836400864
120038904107861.03,35997330946140.85,20291807426851.574,14198576633340.582,900417178728.6133,101636110562.23576,59373311887.09868,62755795204.43158,61967494923.75018,53714974219.43784,40324951445.84196,25365644433.960823,13747127824.8765,6787094718.475951,3151518105.0155077,1422340756.3564103,706045211.7913878,306011593.10048884,95956176.92986086,21123567.167285692,3159111.279544801,312894.6453272165,19629.65065954725,748.2903820430074,16.864647007381016
119476661195790.78,35837944931921.86,20222976881769.32,14160751391655.498,897642057175.5862,100892239242.99533,61232657162.57129,62879130026.227806,60882996797.94168,56169762081.96884,47045289978.247665,31982152100.034256,17772814142.200844,8625514876.771217,3817730015.3970323,1601149611.605751,686280956.7864261,284153070.62736595,84640154.11179784,17628095.096880604,2512912.1554982355,242230.97815624884,15318.810492976063,614.8135440584795,15.222363392654376
120144292112948.28,36026502265471.64,20303790010798.367,14204773690490.66,1153126040127.183,157300719886.96802,99180663187.81012,89931030340.5925,74022892744.59363,53921644962.85562,34465765029.04599,19035368749.573994,9592671966.24138,4793822982.48964,2458372297.638859,1288442852.0227768,764028630.557278,394906732.4145997,148968628.1543574,38685509.85248619,6511107.977072382,678541.5366345576,41413.09436077545,1414.1995628563552,26.257592472911263
119948239149914.12,35972765623460.09,20281856239824.734,14190957577504.727,993701216316.8126,135234998218.41519,86323259105.61282,86638057868.31738,80291895539.76114,66705256132.69507,48877126890.7487,30217299497.266357,16023853785.009224,7603677932.64815,3281123804.699544,1314036057.099246,505323093.41128504,204963578.3774581,60786100.70156056,12798177.20625522,1876930.8597802124,188357.5423120968,12462.734871976638,526.167698234143,13.916875442684894
119926042273422.56,35963374342294.3,20278244017769.42,14188936635578.865,790553813952.5303,87838401939.55457,49011367151.736275,54315420163.79882,57999877431.56944,55326751537.758125,46171831032.876144,31977053436.46377,18586197019.653343,9387440283.247515,4119082085.883101,1562992233.9829876,520340256.7815932,151660746.1470434,33116039.97869116,4952701.5984201,514041.11882489035,37425.57088219331,1866.7319127286041,61.98831429887629,1.3386637623725572
119934671989999.25,35965558610370.1,20278667343911.906,14190807652735.338,907447803600.3177,109596433865.3259,66715584726.93179,69807361646.02126,68173279143.906494,59845935022.94727,46241368836.331566,29803387998.62078,16295480986.730284,7921214096.1988125,3494144597.363796,1432323546.2888474,580483240.1588001,231379554.8150953,66649806.29463487,13551911.335663952,1910597.3178919144,183952.84430225397,11669.2076468941,471.4513491310044,11.86859024986903
120012841942068.7,35991797501203.05,20289874421236.848,14194771260510.271,814745871087.6737,84904691751.04987,46901376932.95732,52181533446.68915,55123899035.54948,50717059395.47737,40155776358.91659,26515764243.5442,14954513079.936554,7549800652.638668,3485251058.1092787,1510805380.5532165,690706302.6885031,274004091.6210536,77992412.3338812,15643215.717430156,2164933.68303451,203139.88516996225,12418.833424587036,476.05246332220656,11.164868976388282
