Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN8AJaggI          2.500000e+03        1.562000e+03        0.000000e+00        6.248000e-01        3.160200e+04        1.212500e+03        5.247322e-23        4.327688e-26        4.355979e-09        6.305153e-09        2.272035e-09        1.800000            7.8                 8                   
BIN8BJ              2.500000e+03        4.990000e+02        0.000000e+00        1.996000e-01        3.053049e+04        1.212500e+03        5.069405e-23        4.180953e-26        4.306180e-09        4.306180e-09        4.306180e-09        3.000000            1.0                 8                   
BIN8BJliq           2.500000e+03        4.990000e+02        0.000000e+00        1.996000e-01        3.053049e+04        1.212500e+03        5.069405e-23        4.180953e-26        4.306180e-09        4.306180e-09        4.306180e-09        3.000000            0.0                 8                   
BIN8BJaggI          2.500000e+03        4.990000e+02        0.000000e+00        1.996000e-01        3.053049e+04        1.212500e+03        5.069405e-23        4.180953e-26        4.306180e-09        6.185475e-09        2.272035e-09        1.800000            7.5                 8                   
BIN8CJ              2.500000e+03        1.250000e+02        0.000000e+00        5.000000e-02        3.015350e+04        1.212500e+03        5.006808e-23        4.129326e-26        4.288383e-09        4.288383e-09        4.288383e-09        3.000000            1.0                 8                   
BIN8CJliq           2.500000e+03        1.250000e+02        0.000000e+00        5.000000e-02        3.015350e+04        1.212500e+03        5.006808e-23        4.129326e-26        4.288383e-09        4.288383e-09        4.288383e-09        3.000000            0.0                 8                   
BIN8CJaggI          2.500000e+03        1.250000e+02        0.000000e+00        5.000000e-02        3.015350e+04        1.212500e+03        5.006808e-23        4.129326e-26        4.288383e-09        6.142925e-09        2.272035e-09        1.800000            7.4                 8                   
BIN9AJ              5.000000e+03        2.999000e+03        0.000000e+00        5.998000e-01        6.307799e+04        1.250000e+03        1.047372e-22        8.378978e-26        5.429137e-09        5.429137e-09        5.429137e-09        3.000000            1.0                 9                   
BIN9AJliq           5.000000e+03        2.999000e+03        0.000000e+00        5.998000e-01        6.307799e+04        1.250000e+03        1.047372e-22        8.378978e-26        5.429137e-09        5.429137e-09        5.429137e-09        3.000000            0.0                 9                   
BIN9AJaggI          5.000000e+03        2.999000e+03        0.000000e+00        5.998000e-01        6.307799e+04        1.250000e+03        1.047372e-22        8.378978e-26        5.429137e-09        9.256633e-09        2.272035e-09        1.800000            15.5                9                   
